voluntary work	le bénévolat
Voluntary worker	Le bénévole
a career	Une carrière
a guess	Une devinette
To record (information,music)	Enregistrer
élu	elected
he had a classic education	il a suivi un parcours scolaire classique
recover from the party	se remettre de la soiree
"to hand in one's resignation"	donner sa démission
to fit out an office, lay out a park; to develop an area; to plan	aménager
flick through, glance through a magazine	feuilleter
to resign	démissionner
A coach	Un entraîneur
"to waste money, food, one's life"	gâcher
to furnish	meubler
Your annoying me	"Tu m'énerves"
"to cultivate one's mind"	se cultiver
to devour	dévorer
Goal Keeper	Le gardien de but
to score a goal	mettre un but
to confront	affronter
"I'm unemployed"	Je suis au chômage
I was hired	"J'ai été engagé"
Black eye	Un oeil au beurre noir
to split up with someone	rompre avec quelqun
If I had brushed my teeth	"Si Je m'etais brossé mes dents"
to hire, take somebody on	embaucher
to appear; to look, seem, appear	paraître
to argue, quarrel, have an argument, have a quarrel	se disputer
a worry	un tracas
The waste	les déchets
light bulb	Une ampoule
To waste	Gaspiller
to sort	trier
a battery	Une pile
thorough cleaning	ménage à fond
a material, fabric	un étoffe
a thickness	une épaisseur
to hurry, hasten, make haste	se hâter
to hurtle down	dévaler
slope	la pente
to scatter objects	éparpiller
to scatter,disperse	"s'éparpiller"
To conceal,hide	dissimuler
to conceal, hide oneself	se dissimuler
to chicken out	se dégonfler
a flat tyre	un dégonflé
One time he had even told a man off	Une fois il avait engueulé un homme
‘I prefer to bring my children to see animals parading	Je préfère amener mes enfants voir défiler les animaux
She brings her children to the swimming pool on Saturdays’	Elle amène ses enfants à la piscine samedi.
I brought her into town this morning’	Je l’ai amenée en ville ce matin.
All they show us is girls in bathing suits !’,	Tout ce qu’on nous montre c’est des nanas en maillot de bain
‘to mouth’ or ‘to utter’ banalities	débiter
She poured out all that stuff without stopping	Elle m’a débité tout cela sans s’arrêter
Who says it isn’t fixed	Qui nous dit que ce n’est pas truqué ?
one regularly bumps into more beautiful women in the street	parfois, on croise de bien plus belles filles dans la rue !
Jean ? … Yes, I bumped into him yesterday in town.	Jean ? … Oui, je l’ai croisé hier en ville.
All these smells remind me of the Christmases of my childhood’,	Toutes ces odeurs me rappellent les Noëls de mon enfance
This article reminds me of something I saw on TV	Cet article me rappelle quelque chose que j’ai vue à la télé.
I’m in Paris for a few days. I’m taking advantage of that to visit the Louvre.”	Je passe quelques jours à Paris. J’en profite pour visiter le Louvre.
… to make it come back into the house’,	… pour le faire rentrer dans la maison.
She is always trying to please him”	Elle essaie toujours de lui faire plaisir.
Qu’est-ce qu’il est beau, votre chien !	"My but he's handsome, your dog"
I like the short snout of boxers	J’aime le museau court des boxers
Your shoes are wet … put them near the fire” …	Tes chaussures sont mouillées … pose-les près du feu.
‘They’re lively dogs”	Ce sont des chiens actifs.
‘I dried my face”	Je me suis séché le visage.
I skipped English class this afternoon”	J’ai séché le cours d’anglais cet après-midi.
I’m not fat, I’m just a little overweight !	Je ne suis pas gros. J’ai juste un peu d’embonpoint.
how about ‘I’ll call you as soon as I’ve finished’	Je t’appelle dès que j’ai fini.
I often exercise.	je fais souvent de l’exercice.
He saw a film last night. (87)	il a vu un film hier soir.
He’s lazy, that guy. (87)	il est paresseux, ce gars-là.
She never reads. (87)	elle ne lit jamais.
